Timestamp | Command | CPU% | MEM% | RSS
2024-10-16 15:03:36 | node | 106.2 | 8.0 | 1310.23
2024-10-16 15:03:37 | k6 | 1.6 | 2.9 | 474.23
2024-10-16 15:03:37 | node | 108.1 | 8.2 | 1343.81
2024-10-16 15:03:38 | k6 | 1.0 | 2.9 | 476.59
2024-10-16 15:03:38 | node | 107.6 | 8.4 | 1379.16
2024-10-16 15:03:39 | k6 | 1.4 | 2.9 | 478.66
2024-10-16 15:03:39 | node | 106.7 | 8.6 | 1414.70
2024-10-16 15:03:40 | k6 | 1.5 | 2.9 | 481.03
2024-10-16 15:03:40 | node | 107.1 | 8.8 | 1449.05
2024-10-16 15:03:41 | k6 | 1.5 | 3.0 | 483.67
2024-10-16 15:03:41 | node | 107.2 | 9.0 | 1478.11
2024-10-16 15:03:42 | k6 | 1.4 | 3.0 | 485.84
2024-10-16 15:03:42 | node | 108.2 | 9.2 | 1513.11
2024-10-16 15:03:43 | k6 | 1.4 | 3.0 | 488.20
2024-10-16 15:03:43 | node | 106.9 | 9.4 | 1546.30
2024-10-16 15:03:44 | k6 | 1.6 | 3.0 | 490.86
2024-10-16 15:03:44 | node | 106.1 | 9.6 | 1579.44
2024-10-16 15:03:45 | k6 | 1.8 | 3.0 | 493.28
2024-10-16 15:03:45 | node | 102.8 | 9.8 | 1612.66
2024-10-16 15:03:46 | k6 | 1.5 | 3.0 | 495.66
2024-10-16 15:03:46 | node | 107.6 | 10.1 | 1648.52
2024-10-16 15:03:47 | k6 | 1.7 | 3.0 | 498.14
2024-10-16 15:03:47 | node | 104.0 | 10.3 | 1681.20
2024-10-16 15:03:48 | k6 | 1.3 | 3.1 | 500.55
2024-10-16 15:03:48 | node | 108.7 | 10.5 | 1717.02
2024-10-16 15:03:49 | k6 | 1.3 | 3.1 | 502.89
2024-10-16 15:03:49 | node | 107.3 | 10.7 | 1755.62
2024-10-16 15:03:50 | k6 | 1.3 | 3.1 | 505.30
2024-10-16 15:03:50 | node | 105.9 | 10.9 | 1789.94
2024-10-16 15:03:51 | k6 | 1.4 | 3.1 | 507.78
2024-10-16 15:03:51 | node | 107.5 | 11.1 | 1826.31
2024-10-16 15:03:52 | k6 | 1.8 | 3.1 | 510.41
2024-10-16 15:03:52 | node | 101.1 | 11.3 | 1857.52
2024-10-16 15:03:53 | k6 | 1.2 | 3.1 | 512.69
2024-10-16 15:03:53 | node | 109.1 | 11.6 | 1893.97
2024-10-16 15:03:54 | k6 | 1.1 | 3.1 | 514.83
2024-10-16 15:03:54 | node | 109.0 | 11.8 | 1933.91
2024-10-16 15:03:55 | k6 | 1.7 | 3.2 | 517.47
2024-10-16 15:03:55 | node | 100.6 | 12.0 | 1964.77
2024-10-16 15:03:56 | k6 | 1.5 | 3.2 | 519.81
2024-10-16 15:03:56 | node | 105.6 | 12.2 | 1995.25
2024-10-16 15:03:57 | k6 | 1.2 | 3.2 | 521.88
2024-10-16 15:03:57 | node | 108.3 | 12.4 | 2031.48
2024-10-16 15:03:58 | k6 | 1.4 | 3.2 | 524.09
2024-10-16 15:03:58 | node | 102.3 | 12.6 | 2062.48
2024-10-16 15:03:59 | k6 | 1.2 | 3.2 | 526.42
2024-10-16 15:03:59 | node | 108.6 | 12.8 | 2093.47
2024-10-16 15:04:00 | k6 | 1.4 | 3.2 | 528.83
2024-10-16 15:04:00 | node | 105.1 | 13.0 | 2121.98
2024-10-16 15:04:01 | k6 | 1.3 | 3.2 | 530.83
2024-10-16 15:04:01 | node | 89.9 | 13.1 | 2145.28
2024-10-16 15:04:02 | k6 | 1.2 | 3.3 | 532.67
2024-10-16 15:04:02 | node | 73.0 | 13.2 | 2165.83
2024-10-16 15:04:03 | k6 | 1.1 | 3.3 | 534.45
2024-10-16 15:04:03 | node | 69.3 | 13.3 | 2183.89
2024-10-16 15:04:04 | k6 | 1.2 | 3.3 | 536.06
2024-10-16 15:04:04 | node | 71.6 | 13.4 | 2200.97
2024-10-16 15:04:05 | k6 | 1.2 | 3.3 | 537.69
2024-10-16 15:04:05 | node | 63.4 | 13.5 | 2219.31
2024-10-16 15:04:07 | k6 | 1.3 | 3.3 | 539.05
2024-10-16 15:04:07 | node | 59.8 | 13.6 | 2233.08
2024-10-16 15:04:08 | k6 | 1.0 | 3.3 | 540.55
2024-10-16 15:04:08 | node | 54.3 | 13.7 | 2247.66
2024-10-16 15:04:09 | k6 | 0.9 | 3.3 | 541.80
2024-10-16 15:04:09 | node | 53.7 | 13.8 | 2260.61
2024-10-16 15:04:10 | k6 | 0.8 | 3.3 | 543.11
2024-10-16 15:04:10 | node | 48.4 | 13.9 | 2272.17
2024-10-16 15:04:11 | k6 | 1.0 | 3.3 | 544.22
2024-10-16 15:04:11 | node | 43.1 | 13.9 | 2283.81
2024-10-16 15:04:12 | k6 | 0.7 | 3.3 | 545.22
2024-10-16 15:04:12 | node | 35.2 | 14.0 | 2292.75
2024-10-16 15:04:13 | k6 | 0.7 | 3.3 | 546.34
2024-10-16 15:04:13 | node | 40.9 | 14.1 | 2303.72
2024-10-16 15:04:14 | k6 | 0.6 | 3.3 | 547.17
2024-10-16 15:04:14 | node | 40.5 | 14.1 | 2311.34
2024-10-16 15:04:15 | k6 | 0.9 | 3.3 | 548.09
2024-10-16 15:04:15 | node | 39.3 | 14.2 | 2318.39
2024-10-16 15:04:16 | k6 | 0.4 | 3.3 | 548.83
2024-10-16 15:04:16 | node | 26.3 | 14.2 | 2323.39
2024-10-16 15:04:17 | k6 | 0.3 | 3.4 | 549.55
2024-10-16 15:04:17 | node | 25.4 | 14.2 | 2327.69
2024-10-16 15:04:18 | k6 | 0.7 | 3.4 | 550.11
2024-10-16 15:04:18 | node | 23.9 | 14.2 | 2330.97
2024-10-16 15:04:19 | k6 | 0.5 | 3.4 | 550.69
2024-10-16 15:04:19 | node | 20.4 | 14.2 | 2332.91
2024-10-16 15:04:20 | k6 | 0.1 | 3.4 | 551.09
2024-10-16 15:04:20 | node | 8.5 | 14.2 | 2334.00
2024-10-16 15:04:21 | node | 1.0 | 14.2 | 2334.00
2024-10-16 15:04:22 | k6 | 505.7 | 7.3 | 1201.08
2024-10-16 15:04:22 | node | 0.6 | 14.2 | 2334.00
2024-10-16 15:04:23 | k6 | 584.4 | 20.2 | 3313.88
2024-10-16 15:04:23 | node | 0.7 | 14.2 | 2333.78
2024-10-16 15:04:24 | k6 | 517.7 | 25.4 | 4164.62
2024-10-16 15:04:24 | node | 0.6 | 9.0 | 1480.72
2024-10-16 15:04:25 | k6 | 461.4 | 35.4 | 5800.50
2024-10-16 15:04:25 | node | 0.6 | 4.3 | 697.91
2024-10-16 15:04:26 | k6 | 451.9 | 33.9 | 5558.42
2024-10-16 15:04:26 | node | 0.6 | 0.3 | 45.55
2024-10-16 15:04:28 | k6 | 492.8 | 32.4 | 5302.20
2024-10-16 15:04:28 | node | 1.6 | 0.3 | 51.31
2024-10-16 15:04:29 | k6 | 298.6 | 27.1 | 4447.05
2024-10-16 15:04:29 | node | 0.5 | 0.3 | 47.33
2024-10-16 15:04:30 | k6 | 436.2 | 27.5 | 4505.12
2024-10-16 15:04:30 | node | 0.5 | 0.3 | 43.02
2024-10-16 15:04:31 | k6 | 450.1 | 18.0 | 2952.09
2024-10-16 15:04:31 | node | 0.5 | 0.3 | 43.81
2024-10-16 15:04:32 | k6 | 507.6 | 18.0 | 2950.86
2024-10-16 15:04:32 | node | 0.6 | 0.3 | 41.47
2024-10-16 15:04:33 | k6 | 406.4 | 18.3 | 3001.53
2024-10-16 15:04:33 | node | 1.0 | 0.3 | 49.47
2024-10-16 15:04:34 | k6 | 344.6 | 17.8 | 2919.80
2024-10-16 15:04:34 | node | 1.6 | 0.3 | 41.80
2024-10-16 15:04:35 | k6 | 260.8 | 18.2 | 2984.17
2024-10-16 15:04:35 | node | 0.9 | 0.3 | 41.73
2024-10-16 15:04:36 | k6 | 237.6 | 17.0 | 2779.92
2024-10-16 15:04:36 | node | 14.3 | 0.9 | 154.98
2024-10-16 15:04:37 | k6 | 213.5 | 14.4 | 2363.84
2024-10-16 15:04:37 | node | 53.9 | 1.9 | 315.84
2024-10-16 15:04:39 | k6 | 208.5 | 14.2 | 2322.09
2024-10-16 15:04:39 | node | 45.2 | 1.7 | 283.77
2024-10-16 15:04:40 | k6 | 206.0 | 14.5 | 2374.50
2024-10-16 15:04:40 | node | 54.4 | 1.9 | 306.23
2024-10-16 15:04:41 | k6 | 219.9 | 14.8 | 2427.69
2024-10-16 15:04:41 | node | 26.0 | 1.7 | 272.38
2024-10-16 15:04:42 | k6 | 149.8 | 13.1 | 2149.42
2024-10-16 15:04:42 | node | 26.1 | 1.8 | 288.47
2024-10-16 15:04:43 | k6 | 67.8 | 9.8 | 1606.00
2024-10-16 15:04:43 | node | 15.5 | 1.1 | 183.17
2024-10-16 15:04:44 | k6 | 137.6 | 11.4 | 1863.16
2024-10-16 15:04:44 | node | 44.3 | 2.1 | 342.94
2024-10-16 15:04:45 | k6 | 126.1 | 13.3 | 2182.48
2024-10-16 15:04:45 | node | 35.0 | 1.7 | 275.03
2024-10-16 15:04:47 | k6 | 72.8 | 9.7 | 1584.70
2024-10-16 15:04:47 | node | 20.0 | 1.2 | 199.38
2024-10-16 15:04:48 | k6 | 127.6 | 9.3 | 1522.73
2024-10-16 15:04:48 | node | 51.6 | 2.3 | 380.20
2024-10-16 15:04:49 | k6 | 132.5 | 14.6 | 2399.86
2024-10-16 15:04:49 | node | 19.1 | 0.8 | 131.25
2024-10-16 15:04:50 | k6 | 147.5 | 14.7 | 2415.70
2024-10-16 15:04:50 | node | 50.9 | 2.0 | 319.62
2024-10-16 15:04:51 | k6 | 125.2 | 13.7 | 2252.47
2024-10-16 15:04:51 | node | 54.3 | 1.8 | 300.95
2024-10-16 15:04:52 | k6 | 89.9 | 10.5 | 1713.81
2024-10-16 15:04:52 | node | 83.1 | 4.3 | 712.62
2024-10-16 15:04:53 | k6 | 51.7 | 9.4 | 1543.16
2024-10-16 15:04:53 | node | 96.5 | 6.0 | 989.16
2024-10-16 15:04:55 | (k6) | 0.0 | 0.0 | 0.00
2024-10-16 15:04:55 | node | 141.2 | 7.9 | 1297.59
2024-10-16 15:04:56 | node | 92.3 | 8.1 | 1320.08
2024-10-16 15:04:57 | node | 105.7 | 8.2 | 1347.70
2024-10-16 15:04:58 | node | 107.8 | 8.4 | 1376.25
2024-10-16 15:04:59 | node | 103.3 | 8.6 | 1402.89
2024-10-16 15:05:00 | node | 107.3 | 8.7 | 1425.36
2024-10-16 15:05:01 | node | 103.0 | 8.8 | 1444.77
2024-10-16 15:05:02 | node | 11.6 | 8.8 | 1447.78
2024-10-16 15:05:03 | node | 1.3 | 8.8 | 1447.78
2024-10-16 15:05:04 | node | 1.0 | 8.8 | 1447.78
2024-10-16 15:05:05 | node | 1.2 | 8.8 | 1447.78
2024-10-16 15:05:06 | node | 1.1 | 8.8 | 1447.78
2024-10-16 15:05:07 | node | 1.2 | 8.8 | 1447.78
2024-10-16 15:05:08 | node | 1.1 | 8.8 | 1447.78
2024-10-16 15:05:09 | node | 1.1 | 8.8 | 1447.78
2024-10-16 15:05:10 | node | 1.2 | 8.8 | 1447.78
2024-10-16 15:05:11 | node | 2.3 | 8.8 | 1447.78
2024-10-16 15:05:12 | node | 1.5 | 8.8 | 1447.78
2024-10-16 15:05:13 | node | 1.3 | 8.8 | 1447.78
2024-10-16 15:05:14 | node | 0.9 | 8.8 | 1447.78
2024-10-16 15:05:16 | node | 1.5 | 8.8 | 1447.78
2024-10-16 15:05:17 | node | 0.9 | 8.8 | 1447.78
2024-10-16 15:05:18 | node | 1.0 | 8.8 | 1447.78
2024-10-16 15:05:19 | node | 1.2 | 8.8 | 1447.78
2024-10-16 15:05:20 | node | 1.1 | 8.8 | 1447.78
2024-10-16 15:05:21 | node | 0.9 | 8.8 | 1447.78
2024-10-16 15:05:22 | node | 1.0 | 8.8 | 1447.78
2024-10-16 15:05:23 | node | 1.2 | 8.8 | 1447.78
2024-10-16 15:05:24 | node | 1.2 | 8.8 | 1447.78
2024-10-16 15:05:25 | node | 1.6 | 8.8 | 1447.78
2024-10-16 15:05:26 | node | 0.8 | 8.8 | 1447.78
2024-10-16 15:05:27 | node | 1.1 | 8.8 | 1447.78
2024-10-16 15:05:28 | node | 1.0 | 8.8 | 1447.78
2024-10-16 15:05:29 | node | 1.1 | 8.8 | 1447.78
2024-10-16 15:05:30 | node | 1.3 | 8.8 | 1447.78
2024-10-16 15:05:31 | node | 1.1 | 8.8 | 1447.78
2024-10-16 15:05:32 | node | 1.5 | 8.8 | 1447.78
2024-10-16 15:05:34 | node | 1.1 | 8.8 | 1447.78
2024-10-16 15:05:35 | node | 1.1 | 8.8 | 1447.78
2024-10-16 15:05:36 | node | 1.3 | 8.8 | 1447.78
2024-10-16 15:05:37 | node | 0.9 | 8.8 | 1447.78
2024-10-16 15:05:38 | node | 0.9 | 8.8 | 1447.78
2024-10-16 15:05:39 | node | 0.7 | 8.8 | 1447.78
2024-10-16 15:05:40 | node | 1.1 | 8.8 | 1447.78
2024-10-16 15:05:41 | node | 0.6 | 8.8 | 1447.78
2024-10-16 15:05:42 | node | 1.0 | 8.8 | 1447.78
2024-10-16 15:05:43 | node | 0.9 | 8.8 | 1447.78
2024-10-16 15:05:44 | node | 1.0 | 8.8 | 1447.78
2024-10-16 15:05:45 | node | 0.4 | 8.8 | 1447.78
2024-10-16 15:05:46 | node | 0.9 | 8.8 | 1447.78
2024-10-16 15:05:47 | node | 1.1 | 8.8 | 1447.78
2024-10-16 15:05:48 | node | 1.3 | 8.8 | 1447.78
2024-10-16 15:05:49 | node | 1.2 | 8.8 | 1447.78
2024-10-16 15:05:50 | node | 1.3 | 8.8 | 1447.78
2024-10-16 15:05:52 | node | 1.0 | 8.8 | 1447.78
2024-10-16 15:05:53 | node | 54.6 | 7.0 | 1152.03
2024-10-16 15:05:54 | node | 224.6 | 6.2 | 1009.03
2024-10-16 15:05:55 | node | 6.9 | 6.2 | 1009.09
2024-10-16 15:05:56 | node | 1.3 | 6.2 | 1009.19
2024-10-16 15:05:57 | node | 1.5 | 6.2 | 1009.20
2024-10-16 15:05:58 | node | 1.0 | 6.2 | 1009.20
2024-10-16 15:05:59 | node | 1.5 | 6.2 | 1009.22
2024-10-16 15:06:00 | node | 5.1 | 6.2 | 1009.80
2024-10-16 15:06:01 | node | 1.0 | 6.2 | 1009.84
2024-10-16 15:06:02 | node | 1.2 | 6.2 | 1009.86
